"Date","Price","Open","High","Low","Vol.","Change %"
"05/02/2018","794.74","791.05","795.96","791.05","","0.66%"
"04/30/2018","789.52","784.45","789.71","783.31","","0.90%"
"04/27/2018","782.48","783.93","784.18","778.33","","0.04%"
"04/26/2018","782.18","776.10","783.07","776.10","","1.05%"
"04/25/2018","774.08","772.99","774.53","769.89","","-0.09%"
"04/24/2018","774.79","781.02","784.90","774.35","","-0.79%"
"04/23/2018","780.93","777.13","782.82","777.13","","0.87%"
"04/20/2018","774.21","775.41","775.67","772.99","","0.04%"
"04/19/2018","773.87","767.71","773.87","767.18","","0.79%"
"04/18/2018","767.78","762.55","767.78","762.34","","0.69%"
"04/17/2018","762.55","757.91","763.39","757.91","","1.05%"
"04/16/2018","754.64","749.78","756.32","749.37","","0.70%"
"04/13/2018","749.38","749.70","751.85","749.38","","0.01%"
"04/12/2018","749.34","747.30","749.94","744.54","","0.56%"
"04/11/2018","745.17","744.26","749.32","743.56","","0.11%"
"04/10/2018","744.35","742.46","745.03","742.46","","0.37%"
"04/09/2018","741.60","745.10","745.50","740.97","","-0.17%"
"04/06/2018","742.87","743.88","744.85","741.03","","0.06%"
"04/05/2018","742.46","738.31","743.87","737.98","","0.92%"
"04/04/2018","735.67","737.89","739.57","733.78","","-0.23%"
"04/03/2018","737.37","740.99","742.33","737.20","","-0.91%"
"03/29/2018","744.11","740.70","744.81","740.67","","0.53%"
"03/28/2018","740.17","743.75","743.75","736.26","","-0.53%"
